,,,,
Estado,Cidade,Contatos,Cep,% do Total
Piauí,Campo Maior,91,64280-000,0.030333333333333334
,Parnaíba,91,64200-000,0.030333333333333334
,Pedro II,91,64255-000,0.030333333333333334
,Picos,91,64600-000,0.030333333333333334
,União,91,64120-000,0.030333333333333334
,Oeiras,91,64500-000,0.030333333333333334
,Barras,91,64100-000,0.030333333333333334
,Piripiri,91,64260-000,0.030333333333333334
,Floriano,91,64800-000,0.030333333333333334
,Teresina,91,64000-000,0.030333333333333334
Maranhão,Balsas,91,65800-000,0.030333333333333334
,Imperatriz,91,65900-000,0.030333333333333334
,Paço do Lumiar,91,65130-000,0.030333333333333334
,Santa Inês,91,65300-000,0.030333333333333334
,Timon,91,65630-000,0.030333333333333334
,Caxias,91,65600-000,0.030333333333333334
,São Luís,91,65000-000,0.030333333333333334
,Açailândia,91,65930-000,0.030333333333333334
,Bacabal,91,65700-000,0.030333333333333334
,Codó,91,65400-000,0.030333333333333334
Pará,Marabá,91,68500-000,0.030333333333333334
,Parauapebas,91,68515-000,0.030333333333333334
,Cametá,91,68400-000,0.030333333333333334
,Bragança,91,68600-000,0.030333333333333334
,Altamira,91,68371-000,0.030333333333333334
,Castanhal,91,68740-000,0.030333333333333334
,Belém,91,66000-000,0.030333333333333334
,Santarém,91,68000-000,0.030333333333333334
,Ananindeua,91,67000-000,0.030333333333333334
,Abaetetuba,91,68440-000,0.030333333333333334
Distrito Federal,Brasília,136,70000-000,0.04533333333333334
Goiás,Goiânia,134,74000-000,0.04466666666666667
TOTAL,,3000,,100.0%
,,,,
DISTRIBUIÇÃO POR STATUS,,,,
Ativo,,1166,,0.38866666666666666
Prospect,,809,,0.26966666666666667
Lead Quente,,446,,0.14866666666666667
Lead Frio,,292,,0.09733333333333333
Inativo,,287,,0.09566666666666666
